types formats,Item,Reference,Prix
Horizontal,1x2,TH1X2,0
Horizontal,1x3,TH1X3,0
Horizontal,1x4,TH1X4,0
Horizontal,2x3,TH2X3,0
Horizontal,2x4,TH2X4,0
Horizontal,3x4,TH3X4,0
Vertical,2x1,TV2X1,0
Vertical,3x1,TV3X1,0
Vertical,3x2,TV3X2,0
Vertical,4x1,TV4X1,0
Vertical,4x2,TV4X2,0
Vertical,4x3,TV4X3,0
Quadratique,1x1,TQ1X1,0
Quadratique,2x2,TQ2X2,0
Quadratique,3x3,TQ3X3,0
Chanfrein,"0,3mm x 45°",CF0345,0
Chanfrein,1mm x 45°,CF1045,0
Chanfrein,2mm x 45°,CF2045,0
Chanfrein,3mm x 45°,CF3045,0
Chanfrein,4mm x 45°,CF4045,0
Rayon,"0,5mm",RY005,0
Rayon,1mm ,RY01,0
Rayon,2mm,RY02,0
Rayon,3mm,RY03,0
Rayon,4mm,RY04,0
